Nome da tarefa,Lista,Status,Empreendimento,Pilar,Dono NYO,Quando dispara,Prazo cliente (após receber),Tipo de entrega,Descrição
Receber e validar briefings devolvidos pelo cliente,Operação Cliente,Aguardando cliente,Cross,Operação,Marina,Pós onboarding,N/A,Outro,Cliente devolve em escrita. Sem briefing aprovado, prazos contratuais não iniciam. Registrar a data de aprovação para começar a contar os DU.
Receber acessos do cliente (Meta + Google + GA4 + IG + Desbravador + WhatsApp + hospedagens),Operação Cliente,Aguardando cliente,Cross,Operação,Marina,Pós onboarding,N/A,Outro,Lista completa enviada em [SOLICITAÇÃO DE ACESSOS] no dia da onboarding
Preencher mapa de stakeholders na onboarding,Operação Cliente,Em produção,Cross,Operação,Marina,Durante a onboarding,N/A,Outro,Quem aprova o quê em cada pilar. Coletar ao vivo na call.
Registrar critérios de sucesso do Mês 1 em ata,Operação Cliente,Em produção,Cross,Operação,Marina,Durante a onboarding,N/A,Outro,O que significa deu certo para o cliente.
Confirmar quais 2 perfis Instagram são contratuais,Operação Cliente,Aguardando cliente,Cross,Operação,Marina,Pós onboarding,N/A,Outro,Anexo 4 cobre 2 perfis. Operação real cuida de 3. Registrar em ata.
Decidir LinkedIn Courchevelinc (cortesia ou cobrança à parte),Operação Cliente,Aguardando cliente,Courchevelinc,Operação,Marina,Pós onboarding,N/A,Outro,Registrar decisão em ata.
Criar ClickUp do projeto Courchevel,Operação Cliente,Em produção,Cross,Operação,Marina,Semana 1 (setup interno),N/A,Outro,Quinta da semana da onboarding
Importar tarefas-30-dias.csv no ClickUp,Operação Cliente,Em produção,Cross,Operação,Marina,Semana 1 (setup interno),N/A,Outro,Após criar o ClickUp
Configurar Sheets de Status do Projeto + Aba Aprovações,Operação Cliente,Em produção,Cross,Operação,Marina,Semana 1 (setup interno),N/A,Outro,5 abas: Visão Geral + Brand + Tráfego + Tech + Social Media + Aprovações
Enviar [BOAS-VINDAS] no grupo WhatsApp,Operação Cliente,Em produção,Cross,Operação,Marina,Dia da onboarding,N/A,Outro,Template em 04-comunicacao-cliente/templates-whatsapp.md
Enviar [SOLICITAÇÃO DE ACESSOS] no grupo,Operação Cliente,Em produção,Cross,Operação,Marina,Dia da onboarding,N/A,Outro,Template em 04-comunicacao-cliente/templates-whatsapp.md
Enviar [INSIGHT DE CONCORRÊNCIA],Operação Cliente,Em produção,Cross,Tráfego,Marina,Sexta da primeira semana,N/A,Outro,Caio entrega insight, Marina envia ao cliente
LP 1 Triunfo Campo Belo - Layout,Tech,Em produção,Triunfo,Tech,João Batista,Em paralelo à revisão do briefing,3 DU,Layout,Layout produzido em paralelo. Entregue ao cliente após aprovação do briefing.
LP 1 Triunfo Campo Belo - Desenvolvimento,Tech,Backlog,Triunfo,Tech,João Batista,Após aprovação do layout pelo cliente,N/A,Outro,Entra em código
LP 1 Triunfo Campo Belo - Homologação cliente,Tech,Backlog,Triunfo,Tech,João Batista,10 DU pós aprovação do briefing,5 DU,Homologação,Cliente tem 5 DU para apontar inconsistências
LP 2 Allure Moema - Layout,Tech,Backlog,Allure,Tech,João Batista,Após início do desenvolvimento da LP1,3 DU,Layout,Layout produzido em paralelo
LP 2 Allure Moema - Desenvolvimento,Tech,Backlog,Allure,Tech,João Batista,Após aprovação do layout pelo cliente,N/A,Outro,Entra em código
LP 2 Allure Moema - Homologação cliente,Tech,Backlog,Allure,Tech,João Batista,20 DU pós aprovação do briefing,5 DU,Homologação,Cliente tem 5 DU
LP 3 Institucional Courchevel - Layout,Tech,Backlog,Courchevelinc,Tech,João Batista,Após início do desenvolvimento da LP2,3 DU,Layout,Layout produzido em paralelo
LP 3 Institucional Courchevel - Homologação cliente,Tech,Backlog,Courchevelinc,Tech,João Batista,30 DU pós aprovação do briefing,5 DU,Homologação,Cliente tem 5 DU
LP 4 Novo Premium - Layout,Tech,Backlog,Novo Premium,Tech,João Batista,Após aprovação de naming + ID visual,3 DU,Layout,Depende do pilar Brand
LP 4 Novo Premium - Homologação cliente,Tech,Backlog,Novo Premium,Tech,João Batista,40 DU pós aprovação do briefing,5 DU,Homologação,Depende de naming + ID visual aprovados antes
Agente IA SDR - Arquitetura e prompts,Tech,Em produção,Triunfo,Tech,Lucas,Em paralelo à revisão do briefing dos agentes,N/A,Outro,Setup inicial e mapeamento de fluxos
Agente IA SDR - Testes internos,Tech,Backlog,Triunfo,Tech,Lucas,Antes do prazo contratual,N/A,Outro,QA interno antes da homologação cliente
Agente IA SDR - Homologação cliente,Tech,Backlog,Triunfo,Tech,Lucas,25 DU pós aprovação do briefing dos agentes,5 DU,Homologação,Cliente tem 5 DU
Agente IA Concierge - Arquitetura e prompts,Tech,Em produção,Allure,Tech,Lucas,Em paralelo à revisão do briefing dos agentes,N/A,Outro,4 fluxos: reserva, pré check-in, durante estadia, pós saída
Agente IA Concierge - Testes internos,Tech,Backlog,Allure,Tech,Lucas,Antes do prazo contratual,N/A,Outro,QA dos 4 fluxos
Agente IA Concierge - Homologação cliente,Tech,Backlog,Allure,Tech,Lucas,25 DU pós aprovação do briefing dos agentes,5 DU,Homologação,Cliente tem 5 DU
CRM - Estrutura inicial,Tech,Backlog,Cross,Tech,João Batista,Após confirmar com cliente o CRM atual (se houver),N/A,Outro,Pipeline por empreendimento + integração com agentes
CRM - Homologação cliente,Tech,Backlog,Cross,Tech,João Batista,30 DU pós aprovação do briefing,5 DU,Homologação,Cliente tem 5 DU
Dashboard - Estrutura inicial,Tech,Backlog,Cross,Tech,João Batista,Em paralelo ao CRM,N/A,Outro,Métricas em tempo real, filtros por empreendimento
Dashboard - Homologação cliente,Tech,Backlog,Cross,Tech,João Batista,30 DU pós aprovação do briefing,5 DU,Homologação,Cliente tem 5 DU
Sistema de Precificação Inteligente - Spec da Desbravador,Tech,Aguardando cliente,Allure,Tech,Matheus,Semana 1,N/A,Outro,Levantamento técnico do PMS atual. Pré-requisito para dimensionar a entrega.
Setup Meta Ads + Pixel + GA4 + Conversions API,Tráfego,Em produção,Cross,Tráfego,Caio,Após receber acessos,N/A,Outro,Configuração técnica inicial
Setup Google Ads,Tráfego,Em produção,Cross,Tráfego,Caio,Após receber acessos,N/A,Outro,Configuração técnica inicial
Plano de Mídia Mês 1,Tráfego,Em produção,Cross,Tráfego,Caio,Pronto para a onboarding,3 DU,Plano,Levar pronto na call de onboarding
Campanhas Triunfo - Estruturação,Tráfego,Backlog,Triunfo,Tráfego,Caio,Após verba disponível + acessos,N/A,Outro,Sem verba na plataforma = campanhas suspensas conforme contrato
Campanhas Allure - Estruturação,Tráfego,Backlog,Allure,Tráfego,Caio,Após verba disponível + acessos,N/A,Outro,Idem Triunfo
Plano de Mídia mês seguinte - Envio ao cliente,Tráfego,Recorrente,Cross,Tráfego,Marina,Todo dia 25,3 DU (até dia 28),Plano,Caio entrega pronto até dia 22
Relatório semanal de tráfego,Tráfego,Recorrente,Cross,Tráfego,Caio,Toda segunda até 10h,N/A,Relatório,Pronto sexta da semana anterior
Lista de 20 perfis-alvo de parceria (Allure),Tráfego,Backlog,Allure,Tráfego,Pedro,Início do mês,N/A,Outro,Creators de Zona Sul SP lifestyle viagem
Imersão de Branding - Briefing aprovado em escrita,Brand,Em produção,Novo Premium,Brand,Gustavo,Durante a onboarding,N/A,Outro,Conduzir na onboarding. Pré-requisito para iniciar naming.
Naming Novo Premium - 30+ opções geradas internamente,Brand,Backlog,Novo Premium,Brand,Gustavo,Após aprovação do briefing de naming,N/A,Naming,Filtro por sonoridade, domínio, redes
Naming Novo Premium - 3 a 5 propostas finais ao cliente,Brand,Backlog,Novo Premium,Brand,Gustavo,10 DU pós aprovação do briefing,5 DU,Naming,Cliente tem 5 DU para escolher
Identidade Visual Premium - Rodada 1,Brand,Backlog,Novo Premium,Brand,Gustavo,15 DU pós naming aprovado,5 DU por rodada (3 rodadas inclusas),Outro,Logo + paleta + tipografia + aplicações
Manual de marca + Assets digitais,Brand,Backlog,Novo Premium,Brand,Guilherme,5 DU pós aprovação final da ID visual,N/A,Outro,Feed quadrado + retrato + stories + banners
Brandbook operacional dos 3 empreendimentos,Brand,Em produção,Cross,Brand,Guilherme,Primeira semana (early-win),N/A,Outro,Independe do cliente
Calendário Editorial Mês 1 - Setup,Social Media,Em produção,Cross,Social Media,Gabriel,Primeira semana,N/A,Plano,Cobre semanas seguintes
Roteiros de criativos primeira semana,Social Media,Em produção,Cross,Social Media,Gabriel,Primeira semana,N/A,Outro,Gabriel produz todos os roteiros
Jhon - 1ª diária do mês (Allure),Social Media,Recorrente,Allure,Social Media,Jhon,Mensal,N/A,Outro,~18 Reels por sessão. Estoque 3 meses.
Jhon - 2ª diária do mês (Triunfo),Social Media,Recorrente,Triunfo,Social Media,Jhon,Mensal,N/A,Outro,~18 Reels por sessão
Jhon - 3ª diária do mês (Courchevelinc),Social Media,Recorrente,Courchevelinc,Social Media,Jhon,Mensal,N/A,Outro,~18 Reels por sessão
Edição dos Reels - Bateria por empreendimento,Social Media,Recorrente,Cross,Social Media,Guilherme,Até 5 DU após cada diária do Jhon,N/A,Outro,Prioridade Allure primeiro
Calendário Editorial mês seguinte - Envio ao cliente,Social Media,Recorrente,Cross,Social Media,Marina,Todo dia 25,3 DU (até dia 28),Plano,Gabriel + Caio entregam pronto até dia 22
